patient_aggregation,percentile,score_mode,threshold,auroc,accuracy,precision,recall,f1,fpr,tn,fp,fn,tp
max,97,ensemble_mse_retina,5.970470491902916,0.8718570095797211,0.4145985401459854,1.0,0.2198443579766537,0.36044657097288674,0.0,171,0,401,113
max,99,ensemble_mse_retina,10.305974119523102,0.8718570095797211,0.2875912408759124,1.0,0.05058365758754864,0.0962962962962963,0.0,171,0,488,26
max,95,ensemble_mse_l1_retina,4.288060393240362,0.8653264159100734,0.4846715328467153,0.9820359281437125,0.31906614785992216,0.48164464023494863,0.017543859649122806,168,3,350,164
max,97,ensemble_mse_l1_retina,5.351000766831869,0.8653264159100734,0.42773722627737226,0.9841269841269841,0.24124513618677043,0.3875,0.011695906432748537,169,2,390,124
max,99,ensemble_mse_l1_retina,8.787439217189544,0.8653264159100734,0.2934306569343066,1.0,0.058365758754863814,0.11029411764705882,0.0,171,0,484,30
max,95,ensemble_all_base,4.706533549465949,0.8727103101463126,0.4905109489051095,0.9940119760479041,0.3229571984435798,0.48751835535976507,0.005847953216374269,170,1,348,166
max,97,ensemble_all_base,6.2070728145766045,0.8727103101463126,0.41021897810218977,1.0,0.2140077821011673,0.3525641025641026,0.0,171,0,404,110
max,99,ensemble_all_base,10.65598845775625,0.8727103101463126,0.2875912408759124,1.0,0.05058365758754864,0.0962962962962963,0.0,171,0,488,26
top2_mean,95,mse,0.006436868780292519,0.8777959815231985,0.5328467153284672,0.985,0.3832684824902724,0.5518207282913166,0.017543859649122806,168,3,317,197
top2_mean,97,mse,0.007874787384644118,0.8777959815231985,0.4510948905109489,1.0,0.26848249027237353,0.4233128834355828,0.0,171,0,376,138
top2_mean,99,mse,0.012145190052688059,0.8777959815231985,0.30364963503649633,1.0,0.07198443579766536,0.13430127041742287,0.0,171,0,477,37
top2_mean,95,l1,0.04617785662412637,0.8493867613261429,0.5153284671532846,0.9739583333333334,0.3638132295719844,0.5297450424929179,0.029239766081871343,166,5,327,187
top2_mean,97,l1,0.04978235375136131,0.8493867613261429,0.4481751824817518,0.9722222222222222,0.2723735408560311,0.425531914893617,0.023391812865497075,167,4,374,140
top2_mean,99,l1,0.06223511036485429,0.8493867613261429,0.3167883211678832,0.96,0.0933852140077821,0.1702127659574468,0.011695906432748537,169,2,466,48
top2_mean,95,retina_band_mse,0.00824190929997709,0.8709013129451385,0.49635036496350365,0.9941520467836257,0.33073929961089493,0.49635036496350365,0.005847953216374269,170,1,344,170
top2_mean,97,retina_band_mse,0.009309096732176801,0.8709013129451385,0.4394160583941606,1.0,0.2529182879377432,0.40372670807453415,0.0,171,0,384,130
top2_mean,99,retina_band_mse,0.0137313321605324,0.8709013129451385,0.29927007299270075,1.0,0.06614785992217899,0.12408759124087591,0.0,171,0,480,34
top2_mean,95,retina_weighted_mse,0.007614927343092801,0.877932509613853,0.5109489051094891,0.9837837837837838,0.3540856031128405,0.5207439198855508,0.017543859649122806,168,3,332,182
top2_mean,97,retina_weighted_mse,0.0084705960284918,0.877932509613853,0.454014598540146,1.0,0.2723735408560311,0.42813455657492355,0.0,171,0,374,140
top2_mean,99,retina_weighted_mse,0.013545513171702548,0.877932509613853,0.29927007299270075,1.0,0.06614785992217899,0.12408759124087591,0.0,171,0,480,34
top2_mean,95,topk_mse_5,0.09253900647163384,0.8835756706942453,0.46131386861313867,0.9801324503311258,0.28793774319066145,0.44511278195488724,0.017543859649122806,168,3,366,148
top2_mean,97,topk_mse_5,0.10929102994501586,0.8835756706942453,0.4029197080291971,0.9906542056074766,0.20622568093385213,0.3413848631239936,0.005847953216374269,170,1,408,106
top2_mean,99,topk_mse_5,0.17779229208826988,0.8835756706942453,0.28029197080291973,1.0,0.04085603112840467,0.07850467289719626,0.0,171,0,493,21
top2_mean,95,topk_mse_10,0.05494482200592737,0.8866247980521992,0.49343065693430654,0.9883040935672515,0.32879377431906615,0.49343065693430654,0.011695906432748537,169,2,345,169
top2_mean,97,topk_mse_10,0.06447245296090834,0.8866247980521992,0.4306569343065693,0.9920634920634921,0.24319066147859922,0.390625,0.005847953216374269,170,1,389,125
top2_mean,99,topk_mse_10,0.10315053045749649,0.8866247980521992,0.291970802919708,1.0,0.05642023346303502,0.10681399631675875,0.0,171,0,485,29
top2_mean,95,ensemble_mse_l1,3.850766154473227,0.8679318269733998,0.5299270072992701,0.98,0.38132295719844356,0.5490196078431373,0.023391812865497075,167,4,318,196
top2_mean,97,ensemble_mse_l1,4.858335934772928,0.8679318269733998,0.4583941605839416,0.9863945578231292,0.2821011673151751,0.43872919818456885,0.011695906432748537,169,2,369,145
top2_mean,99,ensemble_mse_l1,7.29916984664167,0.8679318269733998,0.327007299270073,1.0,0.10311284046692606,0.18694885361552027,0.0,171,0,461,53
top2_mean,95,ensemble_mse_retina,4.136704947647675,0.8796163560652605,0.5094890510948905,0.9836956521739131,0.3521400778210117,0.5186246418338109,0.017543859649122806,168,3,333,181
top2_mean,97,ensemble_mse_retina,5.172215374692924,0.8796163560652605,0.44525547445255476,1.0,0.2607003891050584,0.41358024691358025,0.0,171,0,380,134
top2_mean,99,ensemble_mse_retina,8.795091297283285,0.8796163560652605,0.30364963503649633,1.0,0.07198443579766536,0.13430127041742287,0.0,171,0,477,37
top2_mean,95,ensemble_mse_l1_retina,3.4669229492863445,0.8728468382369672,0.5518248175182482,0.990521327014218,0.4066147859922179,0.576551724137931,0.011695906432748537,169,2,305,209
top2_mean,97,ensemble_mse_l1_retina,4.578679043628406,0.8728468382369672,0.45255474452554745,0.986013986013986,0.27431906614785995,0.4292237442922374,0.011695906432748537,169,2,373,141
top2_mean,99,ensemble_mse_l1_retina,7.231760668564714,0.8728468382369672,0.3182481751824818,1.0,0.0914396887159533,0.16755793226381463,0.0,171,0,467,47
top2_mean,95,ensemble_all_base,4.047469713669948,0.8806972034496097,0.5138686131386861,0.9788359788359788,0.35992217898832685,0.5263157894736842,0.023391812865497075,167,4,329,185
