patient_aggregation,percentile,score_mode,threshold,auroc,accuracy,precision,recall,f1,fpr,tn,fp,fn,tp
max,99,ensemble_mse_l1_retina,9.914936953041941,0.8973650078503652,0.3007299270072993,1.0,0.06809338521400778,0.12750455373406194,0.0,171,0,479,35
max,95,ensemble_all_base,5.02795710389414,0.9185041072200605,0.5883211678832116,1.0,0.45136186770428016,0.6219839142091153,0.0,171,0,282,232
max,97,ensemble_all_base,6.373776534244768,0.9185041072200605,0.4905109489051095,1.0,0.321011673151751,0.48600883652430044,0.0,171,0,349,165
max,99,ensemble_all_base,10.927825137989014,0.9185041072200605,0.32262773722627736,1.0,0.09727626459143969,0.1773049645390071,0.0,171,0,464,50
top2_mean,95,mse,0.0020544778788461893,0.9142262270462148,0.6,1.0,0.4669260700389105,0.636604774535809,0.0,171,0,274,240
top2_mean,97,mse,0.002451477085705796,0.9142262270462148,0.5007299270072992,1.0,0.3346303501945525,0.5014577259475219,0.0,171,0,342,172
top2_mean,99,mse,0.003375078961253123,0.9142262270462148,0.3708029197080292,1.0,0.1614785992217899,0.2780569514237856,0.0,171,0,431,83
top2_mean,95,l1,0.02982290321961039,0.85231073793433,0.49635036496350365,0.9884393063583815,0.3326848249027237,0.4978165938864629,0.011695906432748537,169,2,343,171
top2_mean,97,l1,0.031908262856304596,0.85231073793433,0.41897810218978104,0.9833333333333333,0.22957198443579765,0.3722397476340694,0.011695906432748537,169,2,396,118
top2_mean,99,l1,0.03616457626223557,0.85231073793433,0.3343065693430657,1.0,0.11284046692607004,0.20279720279720279,0.0,171,0,456,58
top2_mean,95,retina_band_mse,0.002386096777627224,0.911165722347373,0.602919708029197,0.9959016393442623,0.4727626459143969,0.6411609498680739,0.005847953216374269,170,1,271,243
top2_mean,97,retina_band_mse,0.0026314069260842494,0.911165722347373,0.5693430656934306,1.0,0.4260700389105058,0.597544338335607,0.0,171,0,295,219
top2_mean,99,retina_band_mse,0.004084787471219831,0.911165722347373,0.3518248175182482,1.0,0.13618677042801555,0.23972602739726026,0.0,171,0,444,70
top2_mean,95,retina_weighted_mse,0.002207353326957613,0.915910073497622,0.621897810218978,0.9961089494163424,0.4980544747081712,0.6640726329442282,0.005847953216374269,170,1,258,256
top2_mean,97,retina_weighted_mse,0.00254586654016741,0.915910073497622,0.5605839416058395,1.0,0.4143968871595331,0.5859697386519945,0.0,171,0,301,213
top2_mean,99,retina_weighted_mse,0.003756814154330575,0.915910073497622,0.36496350364963503,1.0,0.15369649805447472,0.26644182124789206,0.0,171,0,435,79
top2_mean,95,topk_mse_5,0.02690852824598537,0.947129496893986,0.5532846715328467,1.0,0.4046692607003891,0.5761772853185596,0.0,171,0,306,208
top2_mean,97,topk_mse_5,0.030765967834740837,0.947129496893986,0.4846715328467153,1.0,0.3132295719844358,0.47703703703703704,0.0,171,0,353,161
top2_mean,99,topk_mse_5,0.045012344196438715,0.947129496893986,0.345985401459854,1.0,0.12840466926070038,0.22758620689655173,0.0,171,0,448,66
top2_mean,95,topk_mse_10,0.015640027634799426,0.9383006803649852,0.5912408759124088,1.0,0.45525291828793774,0.6256684491978609,0.0,171,0,280,234
top2_mean,97,topk_mse_10,0.01786379478871816,0.9383006803649852,0.5226277372262774,1.0,0.3638132295719844,0.5335235378031383,0.0,171,0,327,187
top2_mean,99,topk_mse_10,0.026900065280497022,0.9383006803649852,0.35912408759124087,1.0,0.14591439688715954,0.2546689303904924,0.0,171,0,439,75
top2_mean,95,ensemble_mse_l1,3.891395593914628,0.8940314469702141,0.6014598540145986,0.9918367346938776,0.4727626459143969,0.6403162055335968,0.011695906432748537,169,2,271,243
top2_mean,97,ensemble_mse_l1,5.139748152480159,0.8940314469702141,0.47883211678832116,1.0,0.30544747081712065,0.46795827123695977,0.0,171,0,357,157
top2_mean,99,ensemble_mse_l1,7.57674775067078,0.8940314469702141,0.3562043795620438,1.0,0.14202334630350194,0.24872231686541738,0.0,171,0,441,73
top2_mean,95,ensemble_mse_retina,4.119842524373309,0.9165016952237923,0.6233576642335766,0.9961240310077519,0.5,0.6658031088082902,0.005847953216374269,170,1,257,257
top2_mean,97,ensemble_mse_retina,5.2291654481882075,0.9165016952237923,0.5386861313868613,1.0,0.3852140077821012,0.5561797752808989,0.0,171,0,316,198
top2_mean,99,ensemble_mse_retina,8.459550644925013,0.9165016952237923,0.3678832116788321,1.0,0.1575875486381323,0.2722689075630252,0.0,171,0,433,81
top2_mean,95,ensemble_mse_l1_retina,3.6406655153818366,0.9044189592008556,0.618978102189781,0.9922178988326849,0.4961089494163424,0.6614785992217899,0.011695906432748537,169,2,259,255
top2_mean,97,ensemble_mse_l1_retina,4.8138209223325585,0.9044189592008556,0.5109489051094891,1.0,0.34824902723735407,0.5165945165945166,0.0,171,0,335,179
top2_mean,99,ensemble_mse_l1_retina,7.068304861350804,0.9044189592008556,0.3708029197080292,1.0,0.1614785992217899,0.2780569514237856,0.0,171,0,431,83
top2_mean,95,ensemble_all_base,4.406641445004823,0.9244772111862015,0.6131386861313869,1.0,0.48443579766536965,0.6526867627785059,0.0,171,0,265,249
top2_mean,97,ensemble_all_base,5.220826052917891,0.9244772111862015,0.5489051094890511,1.0,0.39883268482490275,0.5702364394993046,0.0,171,0,309,205
top2_mean,99,ensemble_all_base,8.769522704021558,0.9244772111862015,0.36642335766423356,1.0,0.1556420233463035,0.26936026936026936,0.0,171,0,434,80
