patient_aggregation,score_mode,class_name,patient_count,image_count,mean_score,std_score,detected_count,detection_rate
max,ensemble_mse_l1,DME+NORMAL,6,26,5.757762946636649,3.764019915791011,4,0.6666666666666666
max,ensemble_mse_l1,DRUSEN,145,211,2.107208294003935,1.931095844472379,13,0.0896551724137931
max,ensemble_mse_l1,DRUSEN+NORMAL,4,15,1.643226214373401,1.0655893758673995,0,0.0
max,ensemble_mse_l1,NORMAL,149,206,0.9048532439586745,1.0163632338107376,2,0.013422818791946308
max,ensemble_mse_l1_ssim,CNV,150,200,4.844045748274993,2.213886543029313,89,0.5933333333333334
max,ensemble_mse_l1_ssim,CNV+DME,5,31,6.504076886975253,3.216164051093999,3,0.6
max,ensemble_mse_l1_ssim,CNV+DME+DRUSEN,2,9,5.9248279315141295,2.9019807272813942,1,0.5
max,ensemble_mse_l1_ssim,CNV+DME+NORMAL,1,5,5.142968781537522,,1,1.0
max,ensemble_mse_l1_ssim,CNV+DRUSEN,9,35,5.3078197860033764,1.8680074162339644,7,0.7777777777777778
max,ensemble_mse_l1_ssim,CNV+DRUSEN+NORMAL,1,4,5.31397249298785,,1,1.0
max,ensemble_mse_l1_ssim,CNV+NORMAL,10,33,4.2671714001172445,2.040399013565011,6,0.6
max,ensemble_mse_l1_ssim,DME,145,198,4.30722729597146,3.0195736710639602,63,0.43448275862068964
max,ensemble_mse_l1_ssim,DME+DRUSEN,8,27,4.795849760374878,2.972055520350618,5,0.625
max,ensemble_mse_l1_ssim,DME+NORMAL,6,26,4.378930960993557,2.58467758170336,4,0.6666666666666666
max,ensemble_mse_l1_ssim,DRUSEN,145,211,1.8714111569468193,1.4711257641141704,11,0.07586206896551724
max,ensemble_mse_l1_ssim,DRUSEN+NORMAL,4,15,1.6743179806931985,1.0927846505767593,0,0.0
max,ensemble_mse_l1_ssim,NORMAL,149,206,0.9679702191136118,0.9450602237880641,2,0.013422818791946308
max,ensemble_mse_retina,CNV,150,200,7.052370899066764,3.8048632701953675,101,0.6733333333333333
max,ensemble_mse_retina,CNV+DME,5,31,10.46472056045019,6.499903902359525,3,0.6
max,ensemble_mse_retina,CNV+DME+DRUSEN,2,9,8.171309157098905,3.260876405235994,2,1.0
max,ensemble_mse_retina,CNV+DME+NORMAL,1,5,6.373467220169145,,1,1.0
max,ensemble_mse_retina,CNV+DRUSEN,9,35,7.98172116666545,3.291208735158356,7,0.7777777777777778
max,ensemble_mse_retina,CNV+DRUSEN+NORMAL,1,4,9.149746680661577,,1,1.0
max,ensemble_mse_retina,CNV+NORMAL,10,33,6.460479716132468,3.4511480043137657,6,0.6
max,ensemble_mse_retina,DME,145,198,6.354297807079337,5.28426251091543,71,0.4896551724137931
max,ensemble_mse_retina,DME+DRUSEN,8,27,7.237591502476835,6.531465232399544,4,0.5
max,ensemble_mse_retina,DME+NORMAL,6,26,7.133748425401381,5.874790761715679,4,0.6666666666666666
max,ensemble_mse_retina,DRUSEN,145,211,2.2984649096283105,2.6577474259416682,12,0.08275862068965517
max,ensemble_mse_retina,DRUSEN+NORMAL,4,15,1.28529642544669,0.8416184719412885,0,0.0
max,ensemble_mse_retina,NORMAL,149,206,0.6500892101277609,1.0506999766357101,1,0.006711409395973154
max,ensemble_mse_ssim_topk,CNV,150,200,6.749774913856189,3.537496580756857,99,0.66
max,ensemble_mse_ssim_topk,CNV+DME,5,31,10.68517976339331,6.632428842357593,3,0.6
max,ensemble_mse_ssim_topk,CNV+DME+DRUSEN,2,9,7.341757564256412,3.4322542318649765,1,0.5
max,ensemble_mse_ssim_topk,CNV+DME+NORMAL,1,5,5.485154871856935,,1,1.0
max,ensemble_mse_ssim_topk,CNV+DRUSEN,9,35,7.237981067889809,2.9285264263990296,7,0.7777777777777778
max,ensemble_mse_ssim_topk,CNV+DRUSEN+NORMAL,1,4,8.665677975340587,,1,1.0
max,ensemble_mse_ssim_topk,CNV+NORMAL,10,33,6.384720302379624,3.4244351771484256,6,0.6
max,ensemble_mse_ssim_topk,DME,145,198,5.9393715587993565,4.837299235467788,61,0.4206896551724138
max,ensemble_mse_ssim_topk,DME+DRUSEN,8,27,7.166167567878697,6.0013996218423,4,0.5
max,ensemble_mse_ssim_topk,DME+NORMAL,6,26,7.052324192238083,5.753662169342162,4,0.6666666666666666
max,ensemble_mse_ssim_topk,DRUSEN,145,211,2.3877060555541725,2.5144138936783462,12,0.08275862068965517
max,ensemble_mse_ssim_topk,DRUSEN+NORMAL,4,15,1.6493472308451418,0.9755248219272987,0,0.0
max,ensemble_mse_ssim_topk,NORMAL,149,206,0.8278347438681765,1.0192896257704065,2,0.013422818791946308
max,ensemble_l1_ssim_topk,CNV,150,200,5.277081577448797,2.494332207848445,104,0.6933333333333334
max,ensemble_l1_ssim_topk,CNV+DME,5,31,7.862683564121484,4.521201406757213,3,0.6
