run_id,score_mode,class_name,sample_count,patient_count,mean_score,std_score,detected_count,detection_rate
ae_mse_l128_e60_plateau,ssim_error,DRUSEN,250,169,0.2046661977767944,0.0566880612695733,57,0.228
ae_mse_l128_e60_plateau,ssim_error,NORMAL,250,171,0.1869103837013244,0.0575389016383993,35,0.14
ae_mse_l128_e60_plateau,mse_ssim_score,CNV,250,178,0.0575165963619947,0.0138788903046502,182,0.728
ae_mse_l128_e60_plateau,mse_ssim_score,DME,250,167,0.0542183983251452,0.0147537188012766,151,0.604
ae_mse_l128_e60_plateau,mse_ssim_score,DRUSEN,250,169,0.0419131631031632,0.0115640561475554,60,0.24
ae_mse_l128_e60_plateau,mse_ssim_score,NORMAL,250,171,0.0380171706825494,0.011683698604887,35,0.14
ae_mse_l128_e60_plateau,retina_band_mse,CNV,250,178,0.0032029042011126,0.0012794640707772,243,0.972
ae_mse_l128_e60_plateau,retina_band_mse,DME,250,167,0.0029482264972757,0.0018431719195607,203,0.812
ae_mse_l128_e60_plateau,retina_band_mse,DRUSEN,250,169,0.0014943756746361,0.0008512834892316,88,0.352
ae_mse_l128_e60_plateau,retina_band_mse,NORMAL,250,171,0.0009565072305267,0.0003310193160393,11,0.044
ae_mse_l128_e60_plateau,retina_weighted_mse,CNV,250,178,0.0030623005102388,0.0012268444901125,244,0.976
ae_mse_l128_e60_plateau,retina_weighted_mse,DME,250,167,0.0027992487573064,0.001731583416575,205,0.82
ae_mse_l128_e60_plateau,retina_weighted_mse,DRUSEN,250,169,0.0014035079154418,0.0007690063782089,96,0.384
ae_mse_l128_e60_plateau,retina_weighted_mse,NORMAL,250,171,0.0008984727017814,0.0003016568698029,13,0.052
ae_mse_l128_e60_plateau,topk_mse_5,CNV,250,178,0.0338047734014689,0.0159121355398677,248,0.992
ae_mse_l128_e60_plateau,topk_mse_5,DME,250,167,0.029727833064273,0.0206845373078038,212,0.848
ae_mse_l128_e60_plateau,topk_mse_5,DRUSEN,250,169,0.0142541274987161,0.0097027396105454,102,0.408
ae_mse_l128_e60_plateau,topk_mse_5,NORMAL,250,171,0.0074994221627712,0.0027538389103227,8,0.032
ae_mse_l128_e60_plateau,topk_mse_10,CNV,250,178,0.0210662819892168,0.0093391265420829,248,0.992
ae_mse_l128_e60_plateau,topk_mse_10,DME,250,167,0.0186885316129773,0.0124702733724683,214,0.856
ae_mse_l128_e60_plateau,topk_mse_10,DRUSEN,250,169,0.0087647552676498,0.0055133483974235,100,0.4
ae_mse_l128_e60_plateau,topk_mse_10,NORMAL,250,171,0.0049593003233894,0.0016888318950708,10,0.04
ae_mse_l128_e60_plateau,ensemble_mse_l1,CNV,250,178,5.897650399793949,2.902803447254395,241,0.964
ae_mse_l128_e60_plateau,ensemble_mse_l1,DME,250,167,5.2088011661584925,3.8076696058732447,205,0.82
ae_mse_l128_e60_plateau,ensemble_mse_l1,DRUSEN,250,169,1.910911226706593,1.5993081720738356,85,0.34
ae_mse_l128_e60_plateau,ensemble_mse_l1,NORMAL,250,171,0.8233741476020131,0.9247110217864676,21,0.084
ae_mse_l128_e60_plateau,ensemble_mse_l1_ssim,CNV,250,178,4.726706659345929,2.193797084509296,236,0.944
ae_mse_l128_e60_plateau,ensemble_mse_l1_ssim,DME,250,167,4.188318210114821,2.8234304166785176,198,0.792
ae_mse_l128_e60_plateau,ensemble_mse_l1_ssim,DRUSEN,250,169,1.6995945126594882,1.258516689920904,83,0.332
ae_mse_l128_e60_plateau,ensemble_mse_l1_ssim,NORMAL,250,171,0.8832905962622525,0.8892775146878381,22,0.088
ae_mse_l128_e60_plateau,ensemble_mse_retina,CNV,250,178,7.074851291303784,3.721065705436172,244,0.976
ae_mse_l128_e60_plateau,ensemble_mse_retina,DME,250,167,6.246810721963877,5.133673267369962,206,0.824
ae_mse_l128_e60_plateau,ensemble_mse_retina,DRUSEN,250,169,2.0596388496073823,2.2093774740269776,99,0.396
ae_mse_l128_e60_plateau,ensemble_mse_retina,NORMAL,250,171,0.5848754334799477,0.8917180996362218,14,0.056
ae_mse_l128_e60_plateau,ensemble_mse_ssim_topk,CNV,250,178,6.80951724215274,3.5299287256680514,246,0.984
ae_mse_l128_e60_plateau,ensemble_mse_ssim_topk,DME,250,167,5.902017407854718,4.623465880179955,212,0.848
ae_mse_l128_e60_plateau,ensemble_mse_ssim_topk,DRUSEN,250,169,2.1747910713648606,2.0359868707297943,103,0.412
ae_mse_l128_e60_plateau,ensemble_mse_ssim_topk,NORMAL,250,171,0.7384289212291199,0.853689538459915,17,0.068
ae_mse_l128_e60_plateau,ensemble_l1_ssim_topk,CNV,250,178,5.289310389846394,2.4987201098609866,244,0.976
ae_mse_l128_e60_plateau,ensemble_l1_ssim_topk,DME,250,167,4.605245298105709,3.2644534569423835,208,0.832
ae_mse_l128_e60_plateau,ensemble_l1_ssim_topk,DRUSEN,250,169,1.8567982022082443,1.5103826067760555,95,0.38
ae_mse_l128_e60_plateau,ensemble_l1_ssim_topk,NORMAL,250,171,0.7718121875506986,0.7793150685068745,21,0.084
ae_mse_l128_e60_plateau,ensemble_mse_l1_retina,CNV,250,178,5.922347567980667,2.9287518540791466,243,0.972
ae_mse_l128_e60_plateau,ensemble_mse_l1_retina,DME,250,167,5.252421481820911,4.009624003548569,205,0.82
ae_mse_l128_e60_plateau,ensemble_mse_l1_retina,DRUSEN,250,169,1.8510665407288116,1.7296076460848244,95,0.38
ae_mse_l128_e60_plateau,ensemble_mse_l1_retina,NORMAL,250,171,0.681066638014759,0.8534769383795913,18,0.072
ae_mse_l128_e60_plateau,ensemble_all_base,CNV,250,178,6.135195327311775,3.043612592388317,245,0.98
ae_mse_l128_e60_plateau,ensemble_all_base,DME,250,167,5.374738361064659,4.111919579582923,211,0.844
ae_mse_l128_e60_plateau,ensemble_all_base,DRUSEN,250,169,1.9610252684799403,1.8250370879839248,99,0.396
ae_mse_l128_e60_plateau,ensemble_all_base,NORMAL,250,171,0.6921077284104844,0.8144691186243186,18,0.072
ae_mse_l256,mse,CNV,250,178,0.0026424488723278,0.0010613639174311,243,0.972
ae_mse_l256,mse,DME,250,167,0.0024387670494616,0.0014911033707737,207,0.828
ae_mse_l256,mse,DRUSEN,250,169,0.0012578928234288,0.0006646590144625,88,0.352
ae_mse_l256,mse,NORMAL,250,171,0.0008193963271332,0.0002952876422095,12,0.048
ae_mse_l256,l1,CNV,250,178,0.0299702142253518,0.0058366128683861,223,0.892
ae_mse_l256,l1,DME,250,167,0.0287987710237503,0.0074828819710489,181,0.724
ae_mse_l256,l1,DRUSEN,250,169,0.0217063347548246,0.0040317397916704,68,0.272
ae_mse_l256,l1,NORMAL,250,171,0.0194069724194705,0.0035375408453514,25,0.1
ae_mse_l256,retina_band_mse,CNV,250,178,0.0030544258542358,0.0011570438463878,238,0.952
ae_mse_l256,retina_band_mse,DME,250,167,0.0028693868375848,0.0017259867381004,199,0.796
ae_mse_l256,retina_band_mse,DRUSEN,250,169,0.0015307686697924,0.0008786325589305,84,0.336
ae_mse_l256,retina_band_mse,NORMAL,250,171,0.0009886461257701,0.0003693690289951,9,0.036
ae_mse_l256,retina_weighted_mse,CNV,250,178,0.0029202373763546,0.0011040962281168,243,0.972
ae_mse_l256,retina_weighted_mse,DME,250,167,0.0027266763509251,0.0016303270419589,206,0.824
ae_mse_l256,retina_weighted_mse,DRUSEN,250,169,0.0014389020791277,0.0007982066213475,87,0.348
ae_mse_l256,retina_weighted_mse,NORMAL,250,171,0.0009284238469554,0.0003331561989454,10,0.04
ae_mse_l256,topk_mse_5,CNV,250,178,0.0322253983989357,0.014382741351983,247,0.988
ae_mse_l256,topk_mse_5,DME,250,167,0.0290517398044466,0.0197642278347845,204,0.816
ae_mse_l256,topk_mse_5,DRUSEN,250,169,0.014848246185109,0.0102836255200079,90,0.36
ae_mse_l256,topk_mse_5,NORMAL,250,171,0.0078980260752141,0.0034210053127898,7,0.028
ae_mse_l256,topk_mse_10,CNV,250,178,0.0200840891748666,0.0084683245540167,247,0.988
ae_mse_l256,topk_mse_10,DME,250,167,0.0182984855622053,0.0120420099558267,206,0.824
ae_mse_l256,topk_mse_10,DRUSEN,250,169,0.0090853458782657,0.0058405823780518,90,0.36
ae_mse_l256,topk_mse_10,NORMAL,250,171,0.0051850596452131,0.0019825823522909,9,0.036
ae_mse_l256,ensemble_mse_l1,CNV,250,178,5.418451823818077,2.5770713176545765,238,0.952
ae_mse_l256,ensemble_mse_l1,DME,250,167,4.90583023429315,3.570321376217289,202,0.808
ae_mse_l256,ensemble_mse_l1,DRUSEN,250,169,1.8974629127302107,1.6250656197802256,79,0.316
ae_mse_l256,ensemble_mse_l1,NORMAL,250,171,0.8207758436075361,0.9352741699758972,18,0.072
ae_mse_l256,ensemble_mse_retina,CNV,250,178,6.42186874668868,3.26501228293616,245,0.98
ae_mse_l256,ensemble_mse_retina,DME,250,167,5.825515394978007,4.752234999880693,204,0.816
ae_mse_l256,ensemble_mse_retina,DRUSEN,250,169,2.044314860832554,2.2478922745759147,86,0.344
ae_mse_l256,ensemble_mse_retina,NORMAL,250,171,0.5853656680381953,0.9531463098721322,12,0.048
ae_mse_l256,ensemble_mse_l1_retina,CNV,250,178,5.42174227898285,2.5914011161116224,242,0.968
ae_mse_l256,ensemble_mse_l1_retina,DME,250,167,4.929752767486359,3.729965389857938,204,0.816
ae_mse_l256,ensemble_mse_l1_retina,DRUSEN,250,169,1.8372881936895693,1.7573440092710242,89,0.356
ae_mse_l256,ensemble_mse_l1_retina,NORMAL,250,171,0.6793223026701459,0.8829976569576347,17,0.068
ae_mse_l256,ensemble_all_base,CNV,250,178,6.729019467601791,3.3900392379439945,244,0.976
ae_mse_l256,ensemble_all_base,DME,250,167,6.039102003222691,4.868117629999461,209,0.836
ae_mse_l256,ensemble_all_base,DRUSEN,250,169,2.190165962454477,2.373553177305191,95,0.38
ae_mse_l256,ensemble_all_base,NORMAL,250,171,0.5981950230143425,0.9386480553120632,12,0.048
ae_mse_l256_bs16,mse,CNV,250,178,0.0027448238856159,0.0010724559228033,243,0.972
ae_mse_l256_bs16,mse,DME,250,167,0.0025445051235146,0.0015265691413625,208,0.832
ae_mse_l256_bs16,mse,DRUSEN,250,169,0.00126796901552,0.0005937726999735,88,0.352
ae_mse_l256_bs16,mse,NORMAL,250,171,0.0008403458502143,0.0002798126992679,14,0.056
ae_mse_l256_bs16,l1,CNV,250,178,0.0304911650121212,0.0060291988790826,224,0.896
ae_mse_l256_bs16,l1,DME,250,167,0.0293198872171342,0.0076423475006892,185,0.74
ae_mse_l256_bs16,l1,DRUSEN,250,169,0.0219172612130641,0.0039656517699697,66,0.264
ae_mse_l256_bs16,l1,NORMAL,250,171,0.0196977569162845,0.0035477381702477,24,0.096
ae_mse_l256_bs16,retina_band_mse,CNV,250,178,0.003171193621587,0.0011554221740184,241,0.964
ae_mse_l256_bs16,retina_band_mse,DME,250,167,0.0030139313023537,0.0018335214315242,203,0.812
ae_mse_l256_bs16,retina_band_mse,DRUSEN,250,169,0.0015401151701807,0.0007544279939508,74,0.296
ae_mse_l256_bs16,retina_band_mse,NORMAL,250,171,0.0010147480808664,0.0003425537235895,9,0.036
ae_mse_l256_bs16,retina_weighted_mse,CNV,250,178,0.0030322552938014,0.0011049161232599,242,0.968
ae_mse_l256_bs16,retina_weighted_mse,DME,250,167,0.0028581042932346,0.0017111083565095,207,0.828
ae_mse_l256_bs16,retina_weighted_mse,DRUSEN,250,169,0.0014484082930721,0.0006897174488896,89,0.356
ae_mse_l256_bs16,retina_weighted_mse,NORMAL,250,171,0.0009526758869178,0.0003095535796234,10,0.04
ae_mse_l256_bs16,topk_mse_5,CNV,250,178,0.0335481916815042,0.0137935004417564,245,0.98
ae_mse_l256_bs16,topk_mse_5,DME,250,167,0.0305685838703066,0.0200721276955279,210,0.84
ae_mse_l256_bs16,topk_mse_5,DRUSEN,250,169,0.0148651208151131,0.009060446861569,88,0.352
ae_mse_l256_bs16,topk_mse_5,NORMAL,250,171,0.0080930557455867,0.0027390397929988,7,0.028
ae_mse_l256_bs16,topk_mse_10,CNV,250,178,0.0208973591644316,0.0083113683305289,245,0.98
ae_mse_l256_bs16,topk_mse_10,DME,250,167,0.0191749824527651,0.0122844830951807,209,0.836
ae_mse_l256_bs16,topk_mse_10,DRUSEN,250,169,0.0091153790233656,0.0051015081274739,92,0.368
ae_mse_l256_bs16,topk_mse_10,NORMAL,250,171,0.0053130999617278,0.0017023783100238,8,0.032
ae_mse_l256_bs16,ensemble_mse_l1,CNV,250,178,5.459556976329052,2.56655019596793,239,0.956
ae_mse_l256_bs16,ensemble_mse_l1,DME,250,167,4.965195109679206,3.56441888020321,203,0.812
ae_mse_l256_bs16,ensemble_mse_l1,DRUSEN,250,169,1.822178075375474,1.4570507306686764,78,0.312
ae_mse_l256_bs16,ensemble_mse_l1,NORMAL,250,171,0.8003354175577538,0.8993033569934027,19,0.076
