run_id,score_mode,threshold,auroc,accuracy,precision,recall,f1,fpr,tn,fp,fn,tp
ae_mse_l256_bs16,mse,0.0013093378860503,0.910208,0.775,0.9746835443037974,0.7186666666666667,0.827321565617805,0.056,236,14,211,539
ae_mse_l256_bs16,retina_band_mse,0.0016392217949032,0.905264,0.759,0.98292220113852,0.6906666666666667,0.8112764291307752,0.036,241,9,232,518
ae_mse_l256_bs16,ensemble_mse_l1_retina,1.9279621315834323,0.8993546666666667,0.766,0.9690909090909092,0.7106666666666667,0.82,0.068,233,17,217,533
ae_mse_l256_bs16,ensemble_mse_l1,2.0731200089542035,0.8894613333333333,0.751,0.9647495361781075,0.6933333333333334,0.8068269976726145,0.076,231,19,230,520
ae_mse_l256_bs16,l1,0.023894789814949,0.8431253333333333,0.701,0.9519038076152304,0.6333333333333333,0.7606084867894315,0.096,226,24,275,475
ae_mse_l64,topk_mse_5,0.0180758617818355,0.938928,0.781,0.9853747714808044,0.7186666666666667,0.8311488049344642,0.032,242,8,211,539
ae_mse_l64,topk_mse_10,0.0111417300999164,0.9325653333333334,0.781,0.9836065573770492,0.72,0.8314087759815243,0.036,241,9,210,540
ae_mse_l64,ensemble_all_base,2.174775012379204,0.9197813333333332,0.773,0.98158379373849,0.7106666666666667,0.8244392884764115,0.04,240,10,217,533
ae_mse_l64,ensemble_mse_retina,2.073012820989179,0.9133866666666668,0.77,0.9761904761904762,0.7106666666666667,0.8225308641975309,0.052,237,13,217,533
ae_mse_l64,mse,0.0015475305262953,0.912432,0.77,0.9727272727272728,0.7133333333333334,0.823076923076923,0.06,235,15,215,535
ae_mse_l64,retina_weighted_mse,0.0017975956434383,0.9118000000000002,0.771,0.9833024118738404,0.7066666666666667,0.8223429014740109,0.036,241,9,220,530
ae_mse_l64,retina_band_mse,0.0019609381444752,0.906304,0.76,0.9793233082706768,0.6946666666666667,0.8127925117004681,0.044,239,11,229,521
ae_mse_l64,ensemble_mse_l1_retina,1.9484178673089732,0.9019946666666668,0.767,0.970856102003643,0.7106666666666667,0.8206312548113934,0.064,234,16,217,533
ae_mse_l64,ensemble_mse_l1,2.0935396013043834,0.89392,0.757,0.9720670391061452,0.696,0.8111888111888111,0.06,235,15,228,522
ae_mse_l64,l1,0.0252729207277297,0.8566560000000001,0.716,0.9568627450980391,0.6506666666666666,0.7746031746031746,0.088,228,22,262,488
vae_msekl_l128,topk_mse_10,0.0334161728620529,0.8839946666666666,0.691,0.976241900647948,0.6026666666666667,0.7452596867271228,0.044,239,11,298,452
vae_msekl_l128,topk_mse_5,0.0554205901920795,0.8816373333333333,0.686,0.9801762114537445,0.5933333333333334,0.739202657807309,0.036,241,9,305,445
vae_msekl_l128,ensemble_all_base,2.095161926850116,0.8776106666666667,0.692,0.9722222222222222,0.6066666666666667,0.7471264367816092,0.052,237,13,295,455
vae_msekl_l128,ensemble_mse_retina,2.045768502739869,0.8763146666666667,0.688,0.974025974025974,0.6,0.7425742574257426,0.048,238,12,300,450
vae_msekl_l128,mse,0.0042143172584474,0.8757866666666666,0.692,0.9702127659574468,0.608,0.7475409836065574,0.056,236,14,294,456
vae_msekl_l128,retina_weighted_mse,0.0050800884142517,0.8739893333333334,0.686,0.9739130434782608,0.5973333333333334,0.740495867768595,0.048,238,12,302,448
vae_msekl_l128,ensemble_mse_l1_retina,1.910291743463679,0.87048,0.69,0.9721030042918456,0.604,0.7450657894736842,0.052,237,13,297,453
vae_msekl_l128,retina_band_mse,0.0056790576316416,0.8665333333333333,0.663,0.976905311778291,0.564,0.7151310228233305,0.04,240,10,327,423
vae_msekl_l128,ensemble_mse_l1,2.011381025241629,0.8659413333333333,0.69,0.9641350210970464,0.6093333333333333,0.7467320261437909,0.068,233,17,293,457
vae_msekl_l128,l1,0.0378922492265701,0.8473706666666667,0.671,0.966740576496674,0.5813333333333334,0.7260616153205662,0.06,235,15,314,436
