run_id,level,score_mode,metric,point,ci_low,ci_high,std,iterations
ae_mse_l128_e60,image,ensemble_all_base,accuracy,0.781,0.756,0.805,0.0127168911027546,1000
ae_mse_l128_e60,image,ensemble_all_base,precision,0.9666080843585236,0.951955154433174,0.9804287814542793,0.0074285316254819,1000
ae_mse_l128_e60,image,ensemble_all_base,recall,0.7333333333333333,0.7027378995433791,0.763375064803176,0.0160148903042167,1000
ae_mse_l128_e60,image,ensemble_all_base,f1,0.8339651250947687,0.8128423904622716,0.8543833580980683,0.0108478072049453,1000
ae_mse_l128_e60,image,ensemble_all_base,fpr,0.076,0.0458238636363636,0.1094899200556134,0.0166315928395744,1000
ae_mse_l128_e60,patient_mean,mse,auroc,0.9144088159748116,0.8919070530532204,0.9362245471376824,0.011416777570415,1000
ae_mse_l128_e60,patient_mean,mse,accuracy,0.8362204724409449,0.8062992125984252,0.862992125984252,0.0146598266425084,1000
ae_mse_l128_e60,patient_mean,mse,precision,0.9547619047619048,0.9341456241033,0.9731739876864788,0.0101115990512014,1000
ae_mse_l128_e60,patient_mean,mse,recall,0.8251028806584362,0.7924574256569847,0.8577483423161477,0.0173727397304024,1000
ae_mse_l128_e60,patient_mean,mse,f1,0.8852097130242825,0.8616709914206233,0.9065817409766456,0.011260270048119,1000
ae_mse_l128_e60,patient_mean,mse,fpr,0.1275167785234899,0.0768965517241379,0.1783014950166113,0.0270599519195762,1000
ae_mse_l128_e60,patient_mean,l1,auroc,0.8589913552627945,0.8302309941847386,0.8889884116176212,0.0153904017774256,1000
ae_mse_l128_e60,patient_mean,l1,accuracy,0.7811023622047244,0.7496062992125985,0.8126377952755905,0.0164188232847063,1000
ae_mse_l128_e60,patient_mean,l1,precision,0.9140811455847256,0.8865166658080469,0.9403341288782816,0.0134062691497705,1000
ae_mse_l128_e60,patient_mean,l1,recall,0.7880658436213992,0.7484044137387161,0.8252384933123524,0.0192472723955882,1000
ae_mse_l128_e60,patient_mean,l1,f1,0.8464088397790055,0.821298456489514,0.8717962760131435,0.0130597413503387,1000
ae_mse_l128_e60,patient_mean,l1,fpr,0.2416107382550335,0.1733103448275862,0.3097276916631755,0.0339733911415783,1000
ae_mse_l128_e60,patient_mean,ssim_error,auroc,0.7881072720744607,0.7468290190626357,0.8262059699041626,0.0203096103500465,1000
ae_mse_l128_e60,patient_mean,ssim_error,accuracy,0.7322834645669292,0.6960629921259842,0.7653543307086614,0.0173451743774059,1000
ae_mse_l128_e60,patient_mean,ssim_error,precision,0.8969849246231156,0.8661616161616161,0.9242918178427316,0.0147052451622143,1000
ae_mse_l128_e60,patient_mean,ssim_error,recall,0.7345679012345679,0.6929256482349266,0.7715446324748262,0.0201186657498045,1000
ae_mse_l128_e60,patient_mean,ssim_error,f1,0.8076923076923077,0.7774005180607396,0.8340944043240445,0.0143191393933725,1000
ae_mse_l128_e60,patient_mean,ssim_error,fpr,0.2751677852348993,0.2066324503311258,0.3466805555555555,0.035692842495499,1000
ae_mse_l128_e60,patient_mean,mse_ssim_score,auroc,0.795937249703096,0.755732073933383,0.8330167490546022,0.0204344874104569,1000
ae_mse_l128_e60,patient_mean,mse_ssim_score,accuracy,0.7433070866141732,0.710236220472441,0.7763779527559055,0.0176285766761677,1000
ae_mse_l128_e60,patient_mean,mse_ssim_score,precision,0.8987654320987655,0.8681592039800995,0.9276815491392,0.0154403598335646,1000
ae_mse_l128_e60,patient_mean,mse_ssim_score,recall,0.7489711934156379,0.708732183433175,0.7857218523002422,0.0201589702216794,1000
ae_mse_l128_e60,patient_mean,mse_ssim_score,f1,0.8170594837261503,0.7874716460491546,0.8442002599236845,0.0144293332667116,1000
ae_mse_l128_e60,patient_mean,mse_ssim_score,fpr,0.2751677852348993,0.2027972027972027,0.3464185674269707,0.0374596798749302,1000
ae_mse_l128_e60,patient_mean,retina_band_mse,auroc,0.9119507277598256,0.8877960286431599,0.9346434541717922,0.0120001273119087,1000
ae_mse_l128_e60,patient_mean,retina_band_mse,accuracy,0.8409448818897638,0.8141732283464567,0.8692913385826772,0.014270852211763,1000
ae_mse_l128_e60,patient_mean,retina_band_mse,precision,0.9572446555819476,0.9357125176803396,0.9756127160786172,0.0101896060620923,1000
ae_mse_l128_e60,patient_mean,retina_band_mse,recall,0.8292181069958847,0.7987921368043993,0.8631650818222025,0.0166931480297906,1000
ae_mse_l128_e60,patient_mean,retina_band_mse,f1,0.8886438809261301,0.8687777550044409,0.9085135160378174,0.0108157273595539,1000
ae_mse_l128_e60,patient_mean,retina_band_mse,fpr,0.1208053691275167,0.0714170506912442,0.1764996130030959,0.0269675735780959,1000
ae_mse_l128_e60,patient_mean,retina_weighted_mse,auroc,0.9161902394564588,0.8921081101273635,0.9370658670530644,0.0112570741055376,1000
ae_mse_l128_e60,patient_mean,retina_weighted_mse,accuracy,0.8393700787401575,0.810984251968504,0.8661811023622047,0.0144449926961665,1000
ae_mse_l128_e60,patient_mean,retina_weighted_mse,precision,0.9507042253521126,0.9300687461522676,0.9693432212773496,0.0100504960136237,1000
ae_mse_l128_e60,patient_mean,retina_weighted_mse,recall,0.8333333333333334,0.7975619964423982,0.8644790597193703,0.0166931861328866,1000
ae_mse_l128_e60,patient_mean,retina_weighted_mse,f1,0.8881578947368421,0.8654270575641636,0.9092851290599824,0.0108539654040843,1000
ae_mse_l128_e60,patient_mean,retina_weighted_mse,fpr,0.1409395973154362,0.090215433794066,0.1986170212765957,0.0277108114776272,1000
ae_mse_l128_e60,patient_mean,topk_mse_5,auroc,0.945632060098876,0.9270007043752728,0.9630747897409512,0.0094386114876204,1000
ae_mse_l128_e60,patient_mean,topk_mse_5,accuracy,0.8488188976377953,0.8220472440944881,0.8755905511811024,0.0141925192116805,1000
ae_mse_l128_e60,patient_mean,topk_mse_5,precision,0.96875,0.951687896971611,0.9837274493108404,0.0084119467905173,1000
ae_mse_l128_e60,patient_mean,topk_mse_5,recall,0.8292181069958847,0.7980193069306931,0.8619958598726115,0.0169639876442439,1000
ae_mse_l128_e60,patient_mean,topk_mse_5,f1,0.893569844789357,0.8728771270612451,0.9134754411322888,0.0106965925654635,1000
ae_mse_l128_e60,patient_mean,topk_mse_5,fpr,0.087248322147651,0.0448529411764705,0.1347517730496454,0.0232125870263238,1000
ae_mse_l128_e60,patient_mean,topk_mse_10,auroc,0.9372635125804402,0.9180478682002184,0.9548614125151716,0.0098318032743976,1000
ae_mse_l128_e60,patient_mean,topk_mse_10,accuracy,0.84251968503937,0.8125984251968504,0.8692913385826772,0.0142854871168013,1000
ae_mse_l128_e60,patient_mean,topk_mse_10,precision,0.9684466019417476,0.950354609929078,0.9835709478315112,0.008736814823058,1000
ae_mse_l128_e60,patient_mean,topk_mse_10,recall,0.8209876543209876,0.7866331737237131,0.8533653887123026,0.0170908163048775,1000
ae_mse_l128_e60,patient_mean,topk_mse_10,f1,0.888641425389755,0.8657659348576195,0.9090958768007948,0.0109144201966617,1000
ae_mse_l128_e60,patient_mean,topk_mse_10,fpr,0.087248322147651,0.0457928521859819,0.1367019527235354,0.0236433814858565,1000
ae_mse_l128_e60,patient_mean,ensemble_mse_l1,auroc,0.8966360096114012,0.8699868853606897,0.9204865892007678,0.0130993490635823,1000
