run_id,patient_aggregation,score_mode,threshold,auroc,accuracy,precision,recall,f1,fpr,tn,fp,fn,tp
ae_mse_l128_e60,mean,ensemble_mse_retina,1.3090256235238735,0.9170464274863978,0.84251968503937,0.9530516431924884,0.8353909465020576,0.8903508771929824,0.1342281879194631,129,20,80,406
ae_mse_l128_e60,mean,retina_weighted_mse,0.001187261253799,0.9161902394564588,0.8393700787401575,0.9507042253521126,0.8333333333333334,0.8881578947368421,0.1409395973154362,128,21,81,405
ae_mse_l128_e60,top2_mean,ensemble_mse_retina,4.171566868573908,0.915706907504074,0.6267716535433071,0.9920948616600792,0.5164609053497943,0.6792963464140731,0.0134228187919463,147,2,235,251
ae_mse_l128_e60,top2_mean,retina_weighted_mse,0.002181602618657,0.9154030988482892,0.6220472440944882,0.992,0.5102880658436214,0.6739130434782609,0.0134228187919463,147,2,238,248
ae_mse_l128_e60,mean,mse,0.0010700382998086,0.9144088159748116,0.8362204724409449,0.9547619047619048,0.8251028806584362,0.8852097130242825,0.1275167785234899,130,19,85,401
ae_mse_l128_e60,mean,ensemble_all_base,1.2933789156601958,0.9144088159748116,0.8535433070866142,0.9517241379310344,0.8518518518518519,0.8990228013029316,0.1409395973154362,128,21,72,414
ae_mse_l128_e60,max,ensemble_mse_ssim_topk,5.156839841535104,0.914353578037396,0.5669291338582677,1.0,0.434156378600823,0.6054519368723099,0.0,149,0,275,211
ae_mse_l128_e60,top2_mean,mse,0.0020006655249744,0.9129312011489492,0.6062992125984252,0.9916666666666668,0.4897119341563786,0.6556473829201102,0.0134228187919463,147,2,248,238
ae_mse_l128_e60,top2_mean,ensemble_all_base,3.681753483997415,0.9127931063054106,0.6220472440944882,0.988095238095238,0.5123456790123457,0.6747967479674797,0.0201342281879194,146,3,237,249
ae_mse_l128_e60,max,retina_weighted_mse,0.0024879860458895,0.9126964399149337,0.5826771653543307,0.9911111111111112,0.4588477366255144,0.6272855133614628,0.0134228187919463,147,2,263,223
ae_mse_l128_e60,max,ensemble_mse_retina,5.224295648057224,0.9126412019775184,0.5716535433070866,0.9953703703703703,0.4423868312757201,0.6125356125356125,0.0067114093959731,148,1,271,215
ae_mse_l128_e60,mean,retina_band_mse,0.0012802281031643,0.9119507277598256,0.8409448818897638,0.9572446555819476,0.8292181069958847,0.8886438809261301,0.1208053691275167,131,18,83,403
ae_mse_l128_e60,top2_mean,retina_band_mse,0.0023045590147376,0.9115916811666251,0.6157480314960629,0.991869918699187,0.5020576131687243,0.6666666666666666,0.0134228187919463,147,2,242,244
ae_mse_l128_e60,max,ensemble_all_base,4.581916405478954,0.9096169249040242,0.5858267716535434,0.9955555555555556,0.4609053497942387,0.630098452883263,0.0067114093959731,148,1,262,224
ae_mse_l128_e60,max,retina_band_mse,0.00268284548074,0.909050736045516,0.5748031496062992,0.9954128440366972,0.4465020576131687,0.6164772727272727,0.0067114093959731,148,1,269,217
ae_mse_l128_e60,max,mse,0.0023074942175298,0.908954069655039,0.5606299212598426,0.9952153110047848,0.4279835390946502,0.5985611510791367,0.0067114093959731,148,1,278,208
ae_mse_l128_e60,mean,ensemble_l1_ssim_topk,1.272181957519876,0.9072416935951612,0.8456692913385827,0.9429223744292238,0.8497942386831275,0.8939393939393939,0.1677852348993288,124,25,73,413
ae_mse_l128_e60,top2_mean,ensemble_l1_ssim_topk,3.4042034514758086,0.9059988400033144,0.6157480314960629,0.9879032258064516,0.5041152263374485,0.667574931880109,0.0201342281879194,146,3,241,245
ae_mse_l128_e60,mean,ensemble_mse_l1_retina,1.2860961200317478,0.9057640787692988,0.8377952755905512,0.9484777517564404,0.8333333333333334,0.8871851040525739,0.1476510067114094,127,22,81,405
ae_mse_l128_e60,top2_mean,ensemble_mse_l1_retina,3.7609627506110193,0.9045350346618056,0.6078740157480315,0.9876543209876544,0.4938271604938271,0.6584362139917695,0.0201342281879194,146,3,246,240
ae_mse_l128_e60,max,ensemble_l1_ssim_topk,3.961056889839631,0.9015107575883118,0.5952755905511811,0.9956709956709956,0.4732510288065844,0.6415620641562064,0.0067114093959731,148,1,256,230
