patient_aggregation,score_mode,threshold,auroc,accuracy,precision,recall,f1,fpr,tn,fp,fn,tp
mean,retina_band_mse,0.00128022810316432,0.9119507277598256,0.8409448818897638,0.9572446555819477,0.8292181069958847,0.8886438809261301,0.12080536912751678,131,18,83,403
top2_mean,retina_band_mse,0.002304559014737606,0.9115916811666253,0.6157480314960629,0.991869918699187,0.5020576131687243,0.6666666666666666,0.013422818791946308,147,2,242,244
max,ensemble_all_base,4.581916405478954,0.9096169249040242,0.5858267716535434,0.9955555555555555,0.4609053497942387,0.630098452883263,0.006711409395973154,148,1,262,224
max,retina_band_mse,0.0026828454807400703,0.909050736045516,0.5748031496062992,0.9954128440366973,0.44650205761316875,0.6164772727272727,0.006711409395973154,148,1,269,217
max,mse,0.0023074942175298875,0.908954069655039,0.5606299212598426,0.9952153110047847,0.4279835390946502,0.5985611510791367,0.006711409395973154,148,1,278,208
mean,ensemble_l1_ssim_topk,1.272181957519876,0.9072416935951612,0.8456692913385827,0.9429223744292238,0.8497942386831275,0.8939393939393939,0.16778523489932887,124,25,73,413
top2_mean,ensemble_l1_ssim_topk,3.4042034514758086,0.9059988400033143,0.6157480314960629,0.9879032258064516,0.5041152263374485,0.667574931880109,0.020134228187919462,146,3,241,245
mean,ensemble_mse_l1_retina,1.2860961200317478,0.9057640787692987,0.8377952755905512,0.9484777517564403,0.8333333333333334,0.8871851040525739,0.1476510067114094,127,22,81,405
top2_mean,ensemble_mse_l1_retina,3.7609627506110193,0.9045350346618057,0.6078740157480315,0.9876543209876543,0.49382716049382713,0.6584362139917695,0.020134228187919462,146,3,246,240
max,ensemble_l1_ssim_topk,3.9610568898396306,0.9015107575883118,0.5952755905511811,0.9956709956709957,0.4732510288065844,0.6415620641562064,0.006711409395973154,148,1,256,230
max,ensemble_mse_l1_retina,4.438071097444734,0.9009307592454497,0.5826771653543307,0.9955156950672646,0.4567901234567901,0.6262341325811002,0.006711409395973154,148,1,264,222
mean,ensemble_mse_l1,1.3938787675527466,0.8966360096114012,0.8283464566929134,0.9333333333333333,0.8353909465020576,0.8816503800217155,0.19463087248322147,120,29,80,406
top2_mean,ensemble_mse_l1,4.039158237333127,0.8954207749882619,0.5795275590551181,0.9910313901345291,0.4547325102880658,0.6234132581100141,0.013422818791946308,147,2,265,221
max,ensemble_mse_l1,4.577809938786911,0.8902836468086281,0.5622047244094488,0.9905660377358491,0.43209876543209874,0.6017191977077364,0.013422818791946308,147,2,276,210
mean,ensemble_mse_l1_ssim,1.3157361685205269,0.8822465269146851,0.8078740157480315,0.9232558139534883,0.8168724279835391,0.8668122270742358,0.2214765100671141,116,33,89,397
top2_mean,ensemble_mse_l1_ssim,3.6066357874929436,0.8806998646670533,0.5464566929133858,0.9900990099009901,0.411522633744856,0.5813953488372093,0.013422818791946308,147,2,286,200
max,ensemble_mse_l1_ssim,3.9531803161334462,0.8748170243323115,0.5417322834645669,0.9899497487437185,0.4053497942386831,0.5751824817518248,0.013422818791946308,147,2,289,197
mean,l1,0.021205901095711775,0.8589913552627945,0.7811023622047244,0.9140811455847255,0.7880658436213992,0.8464088397790055,0.24161073825503357,113,36,103,383
