patient_aggregation,percentile,score_mode,threshold,auroc,accuracy,precision,recall,f1,fpr,tn,fp,fn,tp
mean,95,ensemble_l1_ssim_topk,1.2695251816524689,0.9121327963228435,0.8452554744525548,0.9322033898305084,0.8560311284046692,0.8924949290060852,0.1871345029239766,139,32,74,440
mean,97,ensemble_l1_ssim_topk,1.4633162055535711,0.9121327963228435,0.8408759124087591,0.9530201342281879,0.8287937743190662,0.886576482830385,0.12280701754385964,150,21,88,426
mean,99,ensemble_l1_ssim_topk,1.9509198329142678,0.9121327963228435,0.7795620437956204,0.9738903394255874,0.72568093385214,0.8316610925306578,0.05847953216374269,161,10,141,373
mean,95,ensemble_mse_l1_retina,1.279553201813772,0.9105172139167634,0.8496350364963504,0.9419354838709677,0.8521400778210116,0.8947906026557712,0.15789473684210525,144,27,76,438
mean,97,ensemble_mse_l1_retina,1.5478849023626047,0.9105172139167634,0.8175182481751825,0.9598108747044918,0.7898832684824902,0.8665955176093917,0.09941520467836257,154,17,108,406
mean,99,ensemble_mse_l1_retina,2.1033786370782903,0.9105172139167634,0.7678832116788321,0.9784366576819407,0.7062256809338522,0.8203389830508474,0.04678362573099415,163,8,151,363
mean,95,ensemble_all_base,1.3046539980023668,0.9189478235146882,0.8598540145985402,0.9504310344827587,0.857976653696498,0.901840490797546,0.13450292397660818,148,23,73,441
mean,97,ensemble_all_base,1.536660757796832,0.9189478235146882,0.8379562043795621,0.9632183908045977,0.8151750972762646,0.8830347734457323,0.0935672514619883,155,16,95,419
mean,99,ensemble_all_base,2.1335063884421257,0.9189478235146882,0.7722627737226277,0.9786096256684492,0.7120622568093385,0.8243243243243243,0.04678362573099415,163,8,148,366
max,95,mse,0.0019488840596750363,0.9072632944228274,0.618978102189781,0.9922178988326849,0.4961089494163424,0.6614785992217899,0.011695906432748537,169,2,259,255
max,97,mse,0.0025699057662859556,0.9072632944228274,0.5021897810218978,1.0,0.33657587548638135,0.5036390101892285,0.0,171,0,341,173
max,99,mse,0.003673663856461641,0.9072632944228274,0.35474452554744523,1.0,0.14007782101167315,0.24573378839590443,0.0,171,0,442,72
max,95,l1,0.030208090320229516,0.8465879354677225,0.5036496350364964,0.9833333333333333,0.3443579766536965,0.5100864553314121,0.017543859649122806,168,3,337,177
max,97,l1,0.03295300394296645,0.8465879354677225,0.4072992700729927,0.9821428571428571,0.2140077821011673,0.3514376996805112,0.011695906432748537,169,2,404,110
max,99,l1,0.03842438727617263,0.8465879354677225,0.31532846715328466,1.0,0.08754863813229571,0.16100178890876565,0.0,171,0,469,45
max,95,ssim_error,0.33737603425979595,0.7694268095660682,0.34890510948905107,0.9358974358974359,0.14202334630350194,0.24662162162162163,0.029239766081871343,166,5,441,73
max,97,ssim_error,0.36443951129913305,0.7694268095660682,0.30364963503649633,0.9302325581395349,0.07782101167315175,0.1436265709156194,0.017543859649122806,168,3,474,40
max,99,ssim_error,0.43484824776649467,0.7694268095660682,0.26423357664233577,0.9166666666666666,0.021400778210116732,0.04182509505703422,0.005847953216374269,170,1,503,11
max,95,mse_ssim_score,0.06882284507155412,0.7779484378910961,0.36642335766423356,0.9444444444444444,0.16536964980544747,0.2814569536423841,0.029239766081871343,166,5,429,85
max,97,mse_ssim_score,0.07502041637897491,0.7779484378910961,0.3051094890510949,0.9318181818181818,0.07976653696498054,0.14695340501792115,0.017543859649122806,168,3,473,41
max,99,mse_ssim_score,0.09044598981738089,0.7779484378910961,0.2656934306569343,0.9230769230769231,0.023346303501945526,0.04554079696394687,0.005847953216374269,170,1,502,12
