patient_aggregation,percentile,score_mode,threshold,auroc,accuracy,precision,recall,f1,fpr,tn,fp,fn,tp
max,97,l1,0.033549892082810395,0.8464058980135163,0.41021897810218977,0.9824561403508771,0.2178988326848249,0.35668789808917195,0.011695906432748537,169,2,402,112
max,99,l1,0.0386906886100769,0.8464058980135163,0.31386861313868614,1.0,0.08560311284046693,0.15770609318996415,0.0,171,0,470,44
max,95,ssim_error,0.33805019855499246,0.7692220174300863,0.35036496350364965,0.9259259259259259,0.14591439688715954,0.25210084033613445,0.03508771929824561,165,6,439,75
max,97,ssim_error,0.3679772055149078,0.7692220174300863,0.3007299270072993,0.926829268292683,0.07392996108949416,0.13693693693693693,0.017543859649122806,168,3,476,38
max,99,ssim_error,0.44061179041862486,0.7692220174300863,0.26277372262773724,0.9090909090909091,0.019455252918287938,0.0380952380952381,0.005847953216374269,170,1,504,10
max,95,mse_ssim_score,0.07002458944916723,0.7780280792773113,0.35474452554744523,0.95,0.14785992217898833,0.2558922558922559,0.023391812865497075,167,4,438,76
max,97,mse_ssim_score,0.07497086837887763,0.7780280792773113,0.30802919708029197,0.9347826086956522,0.08365758754863813,0.15357142857142858,0.017543859649122806,168,3,471,43
max,99,mse_ssim_score,0.09048543080687522,0.7780280792773113,0.2671532846715328,0.9285714285714286,0.02529182879377432,0.04924242424242424,0.005847953216374269,170,1,501,13
max,95,retina_band_mse,0.002615519007667899,0.9073543131499306,0.5781021897810219,0.9955947136563876,0.4396887159533074,0.6099865047233468,0.005847953216374269,170,1,288,226
max,97,retina_band_mse,0.0030603479268029297,0.9073543131499306,0.5094890510948905,1.0,0.3463035019455253,0.5144508670520231,0.0,171,0,336,178
max,99,retina_band_mse,0.004626796673983335,0.9073543131499306,0.3343065693430657,1.0,0.11284046692607004,0.20279720279720279,0.0,171,0,456,58
max,95,retina_weighted_mse,0.0024247628170996887,0.9121669283455072,0.5883211678832116,1.0,0.45136186770428016,0.6219839142091153,0.0,171,0,282,232
max,97,retina_weighted_mse,0.002877688249573106,0.9121669283455072,0.5182481751824818,1.0,0.35797665369649806,0.5272206303724928,0.0,171,0,330,184
max,99,retina_weighted_mse,0.004478969899937508,0.9121669283455072,0.32992700729927005,1.0,0.10700389105058365,0.19332161687170474,0.0,171,0,459,55
max,95,topk_mse_5,0.02554340362548827,0.9444671991262201,0.5912408759124088,0.9957627118644068,0.4571984435797665,0.6266666666666667,0.005847953216374269,170,1,279,235
max,97,topk_mse_5,0.03422075189650056,0.9444671991262201,0.4583941605839416,1.0,0.2782101167315175,0.4353120243531202,0.0,171,0,371,143
max,99,topk_mse_5,0.056217092648148524,0.9444671991262201,0.3007299270072993,1.0,0.06809338521400778,0.12750455373406194,0.0,171,0,479,35
max,95,topk_mse_10,0.01540379151701925,0.935274307688807,0.6058394160583942,0.9959349593495935,0.4766536964980545,0.6447368421052632,0.005847953216374269,170,1,269,245
max,97,topk_mse_10,0.020115318223834014,0.935274307688807,0.48175182481751827,1.0,0.3093385214007782,0.4725111441307578,0.0,171,0,355,159
max,99,topk_mse_10,0.03211400605738161,0.935274307688807,0.3182481751824818,1.0,0.0914396887159533,0.16755793226381463,0.0,171,0,467,47
max,95,ensemble_mse_l1,4.4738779355129665,0.8890595490022073,0.581021897810219,0.9913419913419913,0.4455252918287938,0.614765100671141,0.011695906432748537,169,2,285,229
max,97,ensemble_mse_l1,6.045948760187528,0.8890595490022073,0.46277372262773725,0.9932432432432432,0.28599221789883267,0.44410876132930516,0.005847953216374269,170,1,367,147
max,99,ensemble_mse_l1,8.91289141813221,0.8890595490022073,0.33138686131386863,1.0,0.10894941634241245,0.19649122807017544,0.0,171,0,458,56
max,95,ensemble_mse_l1_ssim,4.0066097832090914,0.8711288597628962,0.5401459854014599,0.9901477832512315,0.39105058365758755,0.5606694560669456,0.011695906432748537,169,2,313,201
max,97,ensemble_mse_l1_ssim,5.230173805332143,0.8711288597628962,0.4364963503649635,0.9923076923076923,0.2509727626459144,0.40062111801242234,0.005847953216374269,170,1,385,129
max,99,ensemble_mse_l1_ssim,7.593449733058628,0.8711288597628962,0.31532846715328466,1.0,0.08754863813229571,0.16100178890876565,0.0,171,0,469,45
max,95,ensemble_mse_retina,5.180742846294849,0.9123148337770496,0.5751824817518248,0.9955555555555555,0.4357976653696498,0.6062246278755075,0.005847953216374269,170,1,290,224
max,97,ensemble_mse_retina,6.787522453515373,0.9123148337770496,0.48905109489051096,1.0,0.31906614785992216,0.4837758112094395,0.0,171,0,350,164
max,99,ensemble_mse_retina,11.715977659139782,0.9123148337770496,0.3197080291970803,1.0,0.0933852140077821,0.1708185053380783,0.0,171,0,466,48
max,95,ensemble_mse_ssim_topk,4.831125011169444,0.9139759255466812,0.6058394160583942,0.9919354838709677,0.4785992217898833,0.6456692913385826,0.011695906432748537,169,2,268,246
max,97,ensemble_mse_ssim_topk,6.525756020522765,0.9139759255466812,0.4802919708029197,1.0,0.30739299610894943,0.47023809523809523,0.0,171,0,356,158
max,99,ensemble_mse_ssim_topk,11.115402527739034,0.9139759255466812,0.3182481751824818,1.0,0.0914396887159533,0.16755793226381463,0.0,171,0,467,47
max,95,ensemble_l1_ssim_topk,4.012822717611458,0.9011309076842562,0.6,0.9958677685950413,0.4688715953307393,0.6375661375661376,0.005847953216374269,170,1,273,241
max,97,ensemble_l1_ssim_topk,5.189454988129709,0.9011309076842562,0.48175182481751827,1.0,0.3093385214007782,0.4725111441307578,0.0,171,0,355,159
max,99,ensemble_l1_ssim_topk,8.491030618979314,0.9011309076842562,0.31532846715328466,1.0,0.08754863813229571,0.16100178890876565,0.0,171,0,469,45
